data_for_agg,item,продажи_за_день,рейтинг
2023-01-20,Tea,7.0,5
2023-01-21,Cake,15.0,1
2023-01-21,Sandwich,15.0,2
2023-01-21,Coffee,13.0,3
2023-01-21,Juice,12.0,4
2023-01-21,Salad,10.0,5
2023-01-22,Juice,16.0,1
2023-01-22,Coffee,10.0,2
2023-01-22,Salad,10.0,3
2023-01-22,Nan,9.0,4
2023-01-22,Smoothie,7.0,5
2023-01-23,Sandwich,16.0,1
2023-01-23,Juice,13.0,2
2023-01-23,Salad,12.0,3
2023-01-23,Tea,11.0,4
2023-01-23,Coffee,7.0,5
2023-01-24,Juice,12.0,1
2023-01-24,Sandwich,11.0,2
2023-01-24,Coffee,10.0,3
2023-01-24,Cake,8.0,4
2023-01-24,Salad,5.0,5
2023-01-25,Juice,20.0,1
2023-01-25,Tea,18.0,2
2023-01-25,Cake,17.0,3
2023-01-25,Coffee,12.0,4
2023-01-25,Smoothie,12.0,5
2023-01-26,Tea,20.0,1
2023-01-26,Cookie,15.0,2
2023-01-26,Juice,9.0,3
2023-01-26,Coffee,8.0,4
2023-01-26,Sandwich,7.0,5
2023-01-27,Juice,13.0,1
2023-01-27,Sandwich,13.0,2
2023-01-27,Cookie,12.0,3
2023-01-27,Salad,9.0,4
2023-01-27,Nan,7.0,5
2023-01-28,Cake,20.0,1
2023-01-28,Salad,16.0,2
2023-01-28,Smoothie,13.0,3
2023-01-28,Juice,10.0,4
2023-01-28,Tea,10.0,5
2023-01-29,Cookie,23.0,1
2023-01-29,Sandwich,15.0,2
2023-01-29,Smoothie,14.0,3
2023-01-29,Cake,14.0,4
2023-01-29,Tea,11.0,5
2023-01-30,Juice,29.0,1
2023-01-30,Cake,28.0,2
2023-01-30,Sandwich,11.0,3
2023-01-30,Salad,10.0,4
2023-01-30,Tea,10.0,5
2023-01-31,Coffee,20.0,1
2023-01-31,Sandwich,12.0,2
2023-01-31,Juice,10.0,3
2023-01-31,Tea,9.0,4
2023-01-31,Salad,8.0,5
2023-02-01,Smoothie,15.0,1
2023-02-01,Cake,14.0,2
2023-02-01,Cookie,14.0,3
2023-02-01,Salad,9.0,4
2023-02-01,Tea,7.0,5
2023-02-02,Sandwich,14.0,1
2023-02-02,Cake,10.0,2
2023-02-02,Coffee,10.0,3
2023-02-02,Smoothie,10.0,4
2023-02-02,Juice,7.0,5
2023-02-03,Coffee,28.0,1
2023-02-03,Cake,16.0,2
2023-02-03,Juice,11.0,3
2023-02-03,Salad,10.0,4
2023-02-03,Nan,7.0,5
2023-02-04,Smoothie,20.0,1
2023-02-04,Cookie,15.0,2
2023-02-04,Salad,9.0,3
2023-02-04,Coffee,6.0,4
2023-02-04,Juice,6.0,5
2023-02-05,Salad,19.0,1
2023-02-05,Cake,13.0,2
2023-02-05,Smoothie,13.0,3
2023-02-05,Tea,11.0,4
2023-02-05,Juice,5.0,5
2023-02-06,Tea,23.0,1
2023-02-06,Cookie,21.0,2
2023-02-06,Juice,20.0,3
2023-02-06,Smoothie,13.0,4
2023-02-06,Coffee,11.0,5
2023-02-07,Cookie,24.0,1
2023-02-07,Tea,17.0,2
2023-02-07,Salad,14.0,3
2023-02-07,Juice,10.0,4
2023-02-07,Coffee,8.0,5
2023-02-08,Tea,16.0,1
2023-02-08,Cookie,13.0,2
2023-02-08,Salad,11.0,3
2023-02-08,Smoothie,5.0,4
2023-02-08,Cake,4.0,5
2023-02-09,Coffee,22.0,1
2023-02-09,Smoothie,15.0,2
2023-02-09,Cake,13.0,3
2023-02-09,Tea,11.0,4
2023-02-09,Juice,8.0,5
2023-02-10,Smoothie,20.0,1
2023-02-10,Cake,16.0,2
2023-02-10,Sandwich,16.0,3
2023-02-10,Tea,14.0,4
2023-02-10,Coffee,12.0,5
2023-02-11,Cake,19.0,1
2023-02-11,Sandwich,17.0,2
2023-02-11,Salad,10.0,3
2023-02-11,Juice,9.0,4
2023-02-11,Coffee,8.0,5
2023-02-12,Sandwich,20.0,1
2023-02-12,Salad,11.0,2
2023-02-12,Cookie,10.0,3
2023-02-12,Juice,7.0,4
2023-02-12,Cake,7.0,5
2023-02-13,Coffee,18.0,1
2023-02-13,Sandwich,15.0,2
2023-02-13,Smoothie,10.0,3
2023-02-13,Juice,9.0,4
2023-02-13,Tea,8.0,5
2023-02-14,Coffee,20.0,1
2023-02-14,Cookie,15.0,2
2023-02-14,Tea,12.0,3
2023-02-14,Smoothie,10.0,4
2023-02-14,Cake,7.0,5
2023-02-15,Smoothie,23.0,1
2023-02-15,Juice,19.0,2
2023-02-15,Cookie,14.0,3
2023-02-15,Salad,11.0,4
2023-02-15,Tea,11.0,5
2023-02-16,Tea,18.0,1
2023-02-16,Sandwich,16.0,2
2023-02-16,Cake,14.0,3
2023-02-16,Salad,12.0,4
2023-02-16,Smoothie,12.0,5
2023-02-17,Juice,10.0,1
2023-02-17,Smoothie,8.0,2
2023-02-17,Tea,8.0,3
2023-02-17,Sandwich,7.0,4
2023-02-17,Cookie,5.0,5
2023-02-18,Coffee,23.0,1
2023-02-18,Salad,16.0,2
2023-02-18,Cake,11.0,3
2023-02-18,Sandwich,11.0,4
2023-02-18,Nan,8.0,5
2023-02-19,Cake,23.0,1
2023-02-19,Salad,15.0,2
2023-02-19,Tea,11.0,3
2023-02-19,Coffee,10.0,4
2023-02-19,Cookie,10.0,5
2023-02-20,Juice,17.0,1
2023-02-20,Coffee,13.0,2
2023-02-20,Sandwich,10.0,3
2023-02-20,Salad,10.0,4
2023-02-20,Smoothie,10.0,5
2023-02-21,Cake,19.0,1
2023-02-21,Coffee,19.0,2
2023-02-21,Smoothie,15.0,3
2023-02-21,Tea,14.0,4
2023-02-21,Juice,13.0,5
2023-02-22,Coffee,17.0,1
2023-02-22,Salad,14.0,2
2023-02-22,Smoothie,9.0,3
2023-02-22,Sandwich,8.0,4
2023-02-22,Tea,6.0,5
2023-02-23,Smoothie,16.0,1
2023-02-23,Cake,8.0,2
2023-02-23,Sandwich,6.0,3
2023-02-23,Juice,6.0,4
2023-02-23,Salad,4.0,5
2023-02-24,Juice,25.0,1
2023-02-24,Sandwich,15.0,2
2023-02-24,Salad,11.0,3
2023-02-24,Coffee,6.0,4
2023-02-24,Smoothie,6.0,5
2023-02-25,Salad,20.0,1
2023-02-25,Sandwich,17.0,2
2023-02-25,Juice,16.0,3
2023-02-25,Cookie,10.0,4
2023-02-25,Smoothie,10.0,5
2023-02-26,Sandwich,14.0,1
2023-02-26,Cookie,13.0,2
2023-02-26,Tea,10.0,3
2023-02-26,Salad,8.0,4
2023-02-26,Juice,8.0,5
2023-02-27,Tea,23.0,1
2023-02-27,Juice,14.0,2
2023-02-27,Smoothie,13.0,3
2023-02-27,Cake,11.0,4
2023-02-27,Salad,11.0,5
2023-02-28,Coffee,20.0,1
2023-02-28,Smoothie,19.0,2
2023-02-28,Tea,14.0,3
2023-02-28,Juice,14.0,4
2023-02-28,Sandwich,11.0,5
2023-03-01,Tea,15.0,1
2023-03-01,Salad,12.0,2
2023-03-01,Cookie,11.0,3
2023-03-01,Cake,9.0,4
2023-03-01,Smoothie,6.0,5
2023-03-02,Coffee,22.0,1
2023-03-02,Cookie,16.0,2
2023-03-02,Tea,12.0,3
2023-03-02,Sandwich,11.0,4
2023-03-02,Salad,8.0,5
2023-03-03,Coffee,19.0,1
2023-03-03,Cake,14.0,2
2023-03-03,Tea,13.0,3
2023-03-03,Juice,8.0,4
2023-03-03,Smoothie,7.0,5
2023-03-04,Cookie,18.0,1
2023-03-04,Juice,15.0,2
2023-03-04,Salad,13.0,3
2023-03-04,Smoothie,6.0,4
2023-03-04,Sandwich,5.0,5
2023-03-05,Cake,18.0,1
2023-03-05,Smoothie,13.0,2
2023-03-05,Sandwich,12.0,3
2023-03-05,Coffee,6.0,4
2023-03-05,Salad,6.0,5
2023-03-06,Coffee,23.0,1
2023-03-06,Sandwich,20.0,2
2023-03-06,Cake,11.0,3
2023-03-06,Tea,9.0,4
2023-03-06,Nan,7.0,5
2023-03-07,Cake,17.0,1
2023-03-07,Coffee,15.0,2
2023-03-07,Tea,14.0,3
2023-03-07,Cookie,12.0,4
2023-03-07,Sandwich,11.0,5
2023-03-08,Cookie,26.0,1
2023-03-08,Coffee,10.0,2
2023-03-08,Cake,9.0,3
2023-03-08,Smoothie,9.0,4
2023-03-08,Salad,9.0,5
2023-03-09,Juice,15.0,1
2023-03-09,Salad,9.0,2
2023-03-09,Sandwich,9.0,3
2023-03-09,Cake,8.0,4
2023-03-09,Cookie,5.0,5
2023-03-10,Sandwich,20.0,1
2023-03-10,Cookie,17.0,2
2023-03-10,Coffee,12.0,3
2023-03-10,Juice,9.0,4
2023-03-10,Cake,7.0,5
2023-03-11,Salad,13.0,1
2023-03-11,Sandwich,8.0,2
2023-03-11,Juice,6.0,3
2023-03-11,Smoothie,6.0,4
2023-03-11,Coffee,5.0,5
2023-03-12,Sandwich,17.0,1
2023-03-12,Salad,13.0,2
2023-03-12,Smoothie,11.0,3
2023-03-12,Cake,9.0,4
2023-03-12,Nan,7.0,5
2023-03-13,Cake,18.0,1
2023-03-13,Smoothie,17.0,2
2023-03-13,Sandwich,14.0,3
2023-03-13,Tea,14.0,4
2023-03-13,Juice,13.0,5
2023-03-14,Cake,19.0,1
2023-03-14,Cookie,12.0,2
2023-03-14,Coffee,11.0,3
2023-03-14,Smoothie,7.0,4
2023-03-14,Juice,6.0,5
2023-03-15,Cookie,14.0,1
2023-03-15,Coffee,11.0,2
2023-03-15,Juice,10.0,3
2023-03-15,Tea,7.0,4
2023-03-15,Sandwich,7.0,5
2023-03-16,Coffee,23.0,1
2023-03-16,Cake,19.0,2
2023-03-16,Sandwich,18.0,3
2023-03-16,Juice,16.0,4
2023-03-16,Tea,14.0,5
2023-03-17,Cake,19.0,1
2023-03-17,Salad,16.0,2
2023-03-17,Coffee,13.0,3
2023-03-17,Tea,13.0,4
2023-03-17,Juice,10.0,5
2023-03-18,Cake,22.0,1
2023-03-18,Sandwich,20.0,2
2023-03-18,Cookie,18.0,3
2023-03-18,Salad,18.0,4
2023-03-18,Coffee,9.0,5
2023-03-19,Smoothie,23.0,1
2023-03-19,Salad,17.0,2
2023-03-19,Cake,13.0,3
2023-03-19,Juice,13.0,4
2023-03-19,Nan,6.0,5
2023-03-20,Smoothie,16.0,1
2023-03-20,Cookie,15.0,2
2023-03-20,Coffee,13.0,3
2023-03-20,Juice,9.0,4
2023-03-20,Tea,8.0,5
2023-03-21,Cookie,21.0,1
2023-03-21,Juice,17.0,2
2023-03-21,Cake,14.0,3
2023-03-21,Coffee,9.0,4
2023-03-21,Sandwich,7.0,5
2023-03-22,Tea,21.0,1
2023-03-22,Salad,18.0,2
2023-03-22,Sandwich,6.0,3
2023-03-22,Coffee,6.0,4
2023-03-22,Cookie,5.0,5
2023-03-23,Cake,24.0,1
2023-03-23,Juice,19.0,2
2023-03-23,Smoothie,17.0,3
2023-03-23,Tea,10.0,4
2023-03-23,Sandwich,9.0,5
2023-03-24,Smoothie,16.0,1
2023-03-24,Sandwich,12.0,2
2023-03-24,Coffee,11.0,3
2023-03-24,Cookie,11.0,4
2023-03-24,Juice,8.0,5
2023-03-25,Salad,14.0,1
2023-03-25,Cake,12.0,2
2023-03-25,Juice,12.0,3
2023-03-25,Coffee,11.0,4
2023-03-25,Sandwich,10.0,5
2023-03-26,Juice,17.0,1
2023-03-26,Salad,17.0,2
2023-03-26,Coffee,15.0,3
2023-03-26,Tea,14.0,4
2023-03-26,Sandwich,14.0,5
2023-03-27,Tea,18.0,1
2023-03-27,Coffee,17.0,2
2023-03-27,Juice,14.0,3
2023-03-27,Cookie,8.0,4
2023-03-27,Sandwich,8.0,5
2023-03-28,Sandwich,23.0,1
2023-03-28,Juice,19.0,2
2023-03-28,Coffee,10.0,3
2023-03-28,Cake,10.0,4
2023-03-28,Cookie,9.0,5
2023-03-29,Salad,13.0,1
2023-03-29,Coffee,11.0,2
2023-03-29,Sandwich,7.0,3
2023-03-29,Cake,6.0,4
2023-03-29,Tea,6.0,5
2023-03-30,Salad,17.0,1
2023-03-30,Juice,15.0,2
2023-03-30,Coffee,14.0,3
2023-03-30,Cookie,12.0,4
2023-03-30,Smoothie,11.0,5
2023-03-31,Smoothie,25.0,1
2023-03-31,Juice,16.0,2
2023-03-31,Tea,14.0,3
2023-03-31,Cookie,9.0,4
2023-03-31,Coffee,9.0,5
2023-04-01,Coffee,24.0,1
2023-04-01,Tea,14.0,2
2023-04-01,Cake,13.0,3
2023-04-01,Salad,13.0,4
2023-04-01,Smoothie,13.0,5
2023-04-02,Cake,24.0,1
2023-04-02,Cookie,24.0,2
2023-04-02,Juice,19.0,3
2023-04-02,Salad,10.0,4
2023-04-02,Smoothie,10.0,5
2023-04-03,Coffee,17.0,1
2023-04-03,Cookie,8.0,2
2023-04-03,Juice,7.0,3
2023-04-03,Tea,7.0,4
2023-04-03,Salad,5.0,5
2023-04-04,Smoothie,20.0,1
2023-04-04,Juice,12.0,2
2023-04-04,Salad,9.0,3
2023-04-04,Tea,5.0,4
2023-04-04,Coffee,5.0,5
2023-04-05,Coffee,16.0,1
2023-04-05,Cake,11.0,2
2023-04-05,Nan,11.0,3
2023-04-05,Smoothie,7.0,4
2023-04-05,Tea,5.0,5
2023-04-06,Cake,30.0,1
2023-04-06,Cookie,20.0,2
2023-04-06,Sandwich,18.0,3
2023-04-06,Smoothie,11.0,4
2023-04-06,Salad,10.0,5
2023-04-07,Smoothie,19.0,1
2023-04-07,Salad,14.0,2
2023-04-07,Juice,14.0,3
2023-04-07,Coffee,12.0,4
2023-04-07,Cake,5.0,5
2023-04-08,Tea,19.0,1
2023-04-08,Salad,17.0,2
2023-04-08,Cookie,13.0,3
2023-04-08,Juice,13.0,4
2023-04-08,Cake,11.0,5
2023-04-09,Cake,31.0,1
2023-04-09,Cookie,14.0,2
2023-04-09,Salad,13.0,3
2023-04-09,Smoothie,12.0,4
2023-04-09,Coffee,11.0,5
2023-04-10,Cake,16.0,1
2023-04-10,Juice,14.0,2
2023-04-10,Coffee,7.0,3
2023-04-10,Salad,7.0,4
2023-04-10,Nan,5.0,5
2023-04-11,Cake,20.0,1
2023-04-11,Juice,20.0,2
2023-04-11,Salad,16.0,3
2023-04-11,Coffee,9.0,4
2023-04-11,Nan,5.0,5
2023-04-12,Sandwich,14.0,1
2023-04-12,Salad,11.0,2
2023-04-12,Cookie,10.0,3
2023-04-12,Cake,8.0,4
2023-04-12,Smoothie,8.0,5
2023-04-13,Tea,19.0,1
2023-04-13,Cake,11.0,2
2023-04-13,Smoothie,11.0,3
2023-04-13,Salad,9.0,4
2023-04-13,Coffee,8.0,5
2023-04-14,Smoothie,21.0,1
2023-04-14,Juice,20.0,2
2023-04-14,Cookie,15.0,3
2023-04-14,Cake,11.0,4
2023-04-14,Salad,10.0,5
2023-04-15,Sandwich,24.0,1
2023-04-15,Salad,21.0,2
2023-04-15,Cake,11.0,3
2023-04-15,Juice,11.0,4
2023-04-15,Coffee,10.0,5
2023-04-16,Coffee,15.0,1
2023-04-16,Juice,14.0,2
2023-04-16,Salad,12.0,3
2023-04-16,Smoothie,6.0,4
2023-04-16,Nan,5.0,5
2023-04-17,Smoothie,21.0,1
2023-04-17,Coffee,15.0,2
2023-04-17,Juice,15.0,3
2023-04-17,Salad,14.0,4
2023-04-17,Tea,10.0,5
2023-04-18,Smoothie,17.0,1
2023-04-18,Coffee,15.0,2
2023-04-18,Juice,10.0,3
2023-04-18,Tea,8.0,4
2023-04-18,Cookie,8.0,5
2023-04-19,Cake,13.0,1
2023-04-19,Tea,12.0,2
2023-04-19,Juice,10.0,3
2023-04-19,Sandwich,10.0,4
2023-04-19,Coffee,8.0,5
2023-04-20,Cookie,20.0,1
2023-04-20,Smoothie,18.0,2
2023-04-20,Juice,17.0,3
2023-04-20,Salad,12.0,4
2023-04-20,Cake,11.0,5
2023-04-21,Salad,25.0,1
2023-04-21,Cake,13.0,2
2023-04-21,Coffee,10.0,3
2023-04-21,Juice,10.0,4
2023-04-21,Smoothie,9.0,5
2023-04-22,Sandwich,11.0,1
2023-04-22,Tea,7.0,2
2023-04-22,Nan,7.0,3
2023-04-22,Cake,6.0,4
2023-04-22,Smoothie,4.0,5
2023-04-23,Sandwich,18.0,1
2023-04-23,Coffee,17.0,2
2023-04-23,Nan,12.0,3
2023-04-23,Juice,12.0,4
2023-04-23,Cookie,9.0,5
2023-04-24,Smoothie,16.0,1
2023-04-24,Juice,14.0,2
2023-04-24,Coffee,13.0,3
2023-04-24,Salad,11.0,4
2023-04-24,Cake,10.0,5
2023-04-25,Sandwich,17.0,1
2023-04-25,Tea,13.0,2
2023-04-25,Smoothie,11.0,3
2023-04-25,Coffee,9.0,4
2023-04-25,Juice,7.0,5
2023-04-26,Salad,17.0,1
2023-04-26,Sandwich,11.0,2
2023-04-26,Tea,11.0,3
2023-04-26,Juice,7.0,4
2023-04-26,Smoothie,7.0,5
2023-04-27,Smoothie,12.0,1
2023-04-27,Sandwich,11.0,2
2023-04-27,Cake,8.0,3
2023-04-27,Tea,8.0,4
2023-04-27,Cookie,6.0,5
2023-04-28,Cookie,14.0,1
2023-04-28,Sandwich,10.0,2
2023-04-28,Smoothie,10.0,3
2023-04-28,Tea,7.0,4
2023-04-28,Salad,6.0,5
2023-04-29,Coffee,13.0,1
2023-04-29,Smoothie,12.0,2
2023-04-29,Tea,11.0,3
2023-04-29,Cookie,10.0,4
2023-04-29,Salad,8.0,5
2023-04-30,Sandwich,25.0,1
2023-04-30,Juice,20.0,2
2023-04-30,Cake,15.0,3
2023-04-30,Salad,12.0,4
2023-04-30,Smoothie,11.0,5
2023-05-01,Smoothie,18.0,1
2023-05-01,Tea,13.0,2
2023-05-01,Sandwich,8.0,3
2023-05-01,Cookie,6.0,4
2023-05-01,Salad,6.0,5
2023-05-02,Cookie,18.0,1
2023-05-02,Sandwich,16.0,2
2023-05-02,Coffee,15.0,3
2023-05-02,Smoothie,13.0,4
2023-05-02,Salad,10.0,5
2023-05-03,Tea,21.0,1
2023-05-03,Juice,14.0,2
2023-05-03,Coffee,13.0,3
2023-05-03,Cookie,12.0,4
2023-05-03,Smoothie,9.0,5
2023-05-04,Coffee,12.0,1
2023-05-04,Sandwich,12.0,2
2023-05-04,Cake,11.0,3
2023-05-04,Juice,11.0,4
2023-05-04,Smoothie,10.0,5
2023-05-05,Coffee,25.0,1
2023-05-05,Salad,14.0,2
2023-05-05,Juice,12.0,3
2023-05-05,Cookie,10.0,4
2023-05-05,Cake,9.0,5
2023-05-06,Tea,25.0,1
2023-05-06,Juice,15.0,2
2023-05-06,Cookie,14.0,3
2023-05-06,Smoothie,13.0,4
2023-05-06,Cake,9.0,5
2023-05-07,Tea,19.0,1
2023-05-07,Nan,11.0,2
2023-05-07,Smoothie,9.0,3
2023-05-07,Sandwich,8.0,4
2023-05-07,Salad,7.0,5
2023-05-08,Smoothie,23.0,1
2023-05-08,Sandwich,16.0,2
2023-05-08,Cake,12.0,3
2023-05-08,Juice,10.0,4
2023-05-08,Salad,9.0,5
2023-05-09,Juice,17.0,1
2023-05-09,Sandwich,15.0,2
2023-05-09,Salad,9.0,3
2023-05-09,Coffee,9.0,4
2023-05-09,Smoothie,8.0,5
2023-05-10,Sandwich,15.0,1
2023-05-10,Smoothie,12.0,2
2023-05-10,Tea,11.0,3
2023-05-10,Cookie,7.0,4
2023-05-10,Juice,6.0,5
2023-05-11,Cake,21.0,1
2023-05-11,Juice,17.0,2
2023-05-11,Cookie,14.0,3
2023-05-11,Coffee,11.0,4
2023-05-11,Salad,11.0,5
2023-05-12,Cookie,18.0,1
2023-05-12,Cake,8.0,2
2023-05-12,Salad,8.0,3
2023-05-12,Juice,6.0,4
2023-05-12,Coffee,5.0,5
2023-05-13,Juice,19.0,1
2023-05-13,Cookie,11.0,2
2023-05-13,Smoothie,9.0,3
2023-05-13,Cake,8.0,4
2023-05-13,Sandwich,7.0,5
2023-05-14,Smoothie,21.0,1
2023-05-14,Juice,11.0,2
2023-05-14,Tea,5.0,3
2023-05-14,Coffee,5.0,4
2023-05-14,Sandwich,4.0,5
2023-05-15,Cake,21.0,1
2023-05-15,Coffee,13.0,2
2023-05-15,Juice,12.0,3
2023-05-15,Cookie,10.0,4
2023-05-15,Salad,9.0,5
2023-05-16,Cake,29.0,1
2023-05-16,Salad,12.0,2
2023-05-16,Cookie,9.0,3
2023-05-16,Sandwich,8.0,4
2023-05-16,Coffee,7.0,5
2023-05-17,Smoothie,19.0,1
2023-05-17,Sandwich,16.0,2
2023-05-17,Cookie,15.0,3
2023-05-17,Tea,10.0,4
2023-05-17,Salad,9.0,5
2023-05-18,Salad,21.0,1
2023-05-18,Coffee,14.0,2
2023-05-18,Juice,12.0,3
2023-05-18,Cookie,11.0,4
2023-05-18,Sandwich,10.0,5
2023-05-19,Coffee,19.0,1
2023-05-19,Salad,14.0,2
2023-05-19,Cookie,10.0,3
2023-05-19,Sandwich,8.0,4
2023-05-19,Cake,5.0,5
2023-05-20,Salad,17.0,1
2023-05-20,Sandwich,13.0,2
2023-05-20,Cookie,13.0,3
2023-05-20,Cake,9.0,4
2023-05-20,Coffee,8.0,5
2023-05-21,Sandwich,19.0,1
2023-05-21,Juice,17.0,2
2023-05-21,Coffee,14.0,3
2023-05-21,Smoothie,12.0,4
2023-05-21,Cookie,9.0,5
2023-05-22,Cake,19.0,1
2023-05-22,Cookie,11.0,2
2023-05-22,Coffee,10.0,3
2023-05-22,Sandwich,10.0,4
2023-05-22,Salad,6.0,5
2023-05-23,Cake,16.0,1
2023-05-23,Smoothie,15.0,2
2023-05-23,Tea,13.0,3
2023-05-23,Salad,11.0,4
2023-05-23,Sandwich,9.0,5
2023-05-24,Smoothie,14.0,1
2023-05-24,Juice,13.0,2
2023-05-24,Sandwich,11.0,3
2023-05-24,Cake,9.0,4
2023-05-24,Tea,9.0,5
2023-05-25,Sandwich,12.0,1
2023-05-25,Juice,8.0,2
2023-05-25,Cookie,8.0,3
2023-05-25,Salad,8.0,4
2023-05-25,Coffee,6.0,5
2023-05-26,Cake,15.0,1
2023-05-26,Coffee,12.0,2
2023-05-26,Smoothie,11.0,3
2023-05-26,Cookie,8.0,4
2023-05-26,Salad,6.0,5
2023-05-27,Cake,22.0,1
2023-05-27,Coffee,14.0,2
2023-05-27,Smoothie,12.0,3
2023-05-27,Juice,8.0,4
2023-05-27,Sandwich,6.0,5
2023-05-28,Cake,21.0,1
2023-05-28,Sandwich,17.0,2
2023-05-28,Coffee,14.0,3
2023-05-28,Cookie,8.0,4
2023-05-28,Juice,8.0,5
2023-05-29,Sandwich,12.0,1
2023-05-29,Salad,12.0,2
2023-05-29,Cookie,10.0,3
2023-05-29,Tea,8.0,4
2023-05-29,Juice,8.0,5
2023-05-30,Cake,23.0,1
2023-05-30,Cookie,14.0,2
2023-05-30,Salad,7.0,3
2023-05-30,Nan,6.0,4
2023-05-30,Coffee,6.0,5
2023-05-31,Salad,14.0,1
2023-05-31,Juice,11.0,2
2023-05-31,Cookie,9.0,3
2023-05-31,Tea,9.0,4
2023-05-31,Cake,8.0,5
2023-06-01,Smoothie,32.0,1
2023-06-01,Cookie,20.0,2
2023-06-01,Sandwich,17.0,3
2023-06-01,Coffee,11.0,4
2023-06-01,Salad,10.0,5
2023-06-02,Juice,19.0,1
2023-06-02,Cookie,18.0,2
2023-06-02,Tea,13.0,3
2023-06-02,Cake,10.0,4
2023-06-02,Coffee,8.0,5
2023-06-03,Coffee,25.0,1
2023-06-03,Juice,13.0,2
2023-06-03,Cake,10.0,3
2023-06-03,Tea,10.0,4
2023-06-03,Sandwich,9.0,5
2023-06-04,Cookie,13.0,1
2023-06-04,Smoothie,10.0,2
2023-06-04,Coffee,8.0,3
2023-06-04,Salad,7.0,4
2023-06-04,Cake,6.0,5
2023-06-05,Cookie,15.0,1
2023-06-05,Salad,11.0,2
2023-06-05,Coffee,10.0,3
2023-06-05,Smoothie,8.0,4
2023-06-05,Sandwich,7.0,5
2023-06-06,Salad,25.0,1
2023-06-06,Sandwich,20.0,2
2023-06-06,Smoothie,15.0,3
2023-06-06,Cake,14.0,4
2023-06-06,Cookie,13.0,5
2023-06-07,Smoothie,15.0,1
2023-06-07,Cake,8.0,2
