data_for_agg,day_revenue,check,data,is_working_day
2023-03-21,64.0,2.56,2023-03-21,True
2023-03-22,67.0,2.9130434782608696,2023-03-22,True
2023-03-23,97.0,3.2333333333333334,2023-03-23,True
2023-03-24,77.0,2.9615384615384617,2023-03-24,True
2023-03-25,83.5,3.34,2023-03-25,True
2023-03-26,102.5,2.9285714285714284,2023-03-26,False
2023-03-27,69.5,2.574074074074074,2023-03-27,True
2023-03-28,93.5,3.0161290322580645,2023-03-28,True
2023-03-29,53.0,3.1176470588235294,2023-03-29,True
2023-03-30,91.5,2.859375,2023-03-30,True
2023-03-31,73.5,2.625,2023-03-31,True
2023-04-01,75.0,2.7777777777777777,2023-04-01,True
2023-04-02,91.5,2.772727272727273,2023-04-02,False
2023-04-03,42.0,2.4705882352941178,2023-04-03,True
2023-04-04,76.0,3.4545454545454546,2023-04-04,True
2023-04-05,52.0,2.4761904761904763,2023-04-05,True
2023-04-06,104.5,2.9857142857142858,2023-04-06,True
2023-04-07,74.0,3.3636363636363638,2023-04-07,True
2023-04-08,88.0,2.933333333333333,2023-04-08,True
2023-04-09,93.0,3.0,2023-04-09,False
2023-04-10,83.0,3.074074074074074,2023-04-10,True
2023-04-11,85.5,3.2884615384615383,2023-04-11,True
2023-04-12,81.5,3.1346153846153846,2023-04-12,True
2023-04-13,67.5,2.9347826086956523,2023-04-13,True
2023-04-14,91.5,2.9516129032258065,2023-04-14,True
2023-04-15,97.5,3.3620689655172415,2023-04-15,True
2023-04-16,60.0,3.1578947368421053,2023-04-16,False
2023-04-17,95.5,3.183333333333333,2023-04-17,True
2023-04-18,70.0,2.9166666666666665,2023-04-18,True
2023-04-19,69.5,2.8958333333333335,2023-04-19,True
2023-04-20,93.5,2.75,2023-04-20,True
2023-04-21,104.5,3.1666666666666665,2023-04-21,True
2023-04-22,52.0,3.25,2023-04-22,True
2023-04-23,87.5,2.8225806451612905,2023-04-23,False
2023-04-24,83.5,3.2115384615384617,2023-04-24,True
2023-04-25,77.5,3.1,2023-04-25,True
2023-04-26,63.0,3.5,2023-04-26,True
2023-04-27,46.0,3.066666666666667,2023-04-27,True
2023-04-28,55.0,2.75,2023-04-28,True
2023-04-29,67.5,2.9347826086956523,2023-04-29,True
2023-04-30,111.5,3.0972222222222223,2023-04-30,False
2023-05-01,73.5,2.94,2023-05-01,True
2023-05-02,82.5,2.9464285714285716,2023-05-02,True
2023-05-03,65.0,2.6,2023-05-03,True
2023-05-04,80.5,2.9814814814814814,2023-05-04,True
2023-05-05,91.0,2.757575757575758,2023-05-05,True
2023-05-06,73.0,2.7037037037037037,2023-05-06,True
2023-05-07,54.5,3.0277777777777777,2023-05-07,False
2023-05-08,90.0,3.3333333333333335,2023-05-08,True
2023-05-09,73.0,3.0416666666666665,2023-05-09,True
2023-05-10,75.0,3.260869565217391,2023-05-10,True
2023-05-11,89.0,2.966666666666667,2023-05-11,True
2023-05-12,42.5,2.65625,2023-05-12,True
2023-05-13,58.0,2.9,2023-05-13,True
2023-05-14,62.5,3.125,2023-05-14,False
2023-05-15,73.0,2.8076923076923075,2023-05-15,True
2023-05-16,74.5,2.98,2023-05-16,True
2023-05-17,88.0,3.0344827586206895,2023-05-17,True
2023-05-18,101.0,2.9705882352941178,2023-05-18,True
2023-05-19,66.0,3.0,2023-05-19,True
2023-05-20,87.5,3.3653846153846154,2023-05-20,True
2023-05-21,89.5,2.796875,2023-05-21,False
2023-05-22,69.5,2.8958333333333335,2023-05-22,True
2023-05-23,76.5,3.1875,2023-05-23,True
2023-05-24,89.5,3.1964285714285716,2023-05-24,True
2023-05-25,56.0,3.2941176470588234,2023-05-25,True
2023-05-26,57.0,2.85,2023-05-26,True
2023-05-27,80.5,3.22,2023-05-27,True
2023-05-28,85.0,3.0357142857142856,2023-05-28,False
2023-05-29,76.5,3.06,2023-05-29,True
2023-05-30,60.5,2.75,2023-05-30,True
2023-05-31,81.0,3.0,2023-05-31,True
2023-06-01,110.0,3.3333333333333335,2023-06-01,True
2023-06-02,65.0,2.3214285714285716,2023-06-02,True
2023-06-03,57.0,2.590909090909091,2023-06-03,True
2023-06-04,56.0,2.8,2023-06-04,False
2023-06-05,54.5,2.8684210526315788,2023-06-05,True
2023-06-06,110.5,3.3484848484848486,2023-06-06,True
2023-06-07,56.5,2.6904761904761907,2023-06-07,True
2023-06-08,84.0,3.111111111111111,2023-06-08,True
2023-06-09,79.5,2.9444444444444446,2023-06-09,True
2023-06-10,102.0,3.4,2023-06-10,True
2023-06-11,53.5,2.5476190476190474,2023-06-11,False
2023-06-12,79.0,2.7241379310344827,2023-06-12,True
2023-06-13,76.5,3.06,2023-06-13,True
2023-06-14,64.0,2.782608695652174,2023-06-14,True
2023-06-15,89.5,3.1964285714285716,2023-06-15,True
2023-06-16,127.0,3.175,2023-06-16,True
2023-06-17,77.0,2.75,2023-06-17,True
2023-06-18,106.0,2.864864864864865,2023-06-18,False
2023-06-19,72.0,3.4285714285714284,2023-06-19,True
2023-06-20,76.0,3.04,2023-06-20,True
2023-06-21,67.0,3.0454545454545454,2023-06-21,True
2023-06-22,64.5,3.3947368421052633,2023-06-22,True
2023-06-23,100.5,3.0454545454545454,2023-06-23,True
2023-06-24,96.5,3.015625,2023-06-24,True
2023-06-25,67.5,2.9347826086956523,2023-06-25,False
2023-06-26,73.5,2.826923076923077,2023-06-26,True
2023-06-27,71.5,2.9791666666666665,2023-06-27,True
2023-06-28,99.5,2.842857142857143,2023-06-28,True
2023-06-29,87.0,2.806451612903226,2023-06-29,True
2023-06-30,109.0,3.0277777777777777,2023-06-30,True
2023-07-01,49.5,2.6052631578947367,2023-07-01,True
2023-07-02,80.0,2.7586206896551726,2023-07-02,False
2023-07-03,57.5,2.738095238095238,2023-07-03,True
2023-07-04,68.5,2.9782608695652173,2023-07-04,True
2023-07-05,80.0,2.6666666666666665,2023-07-05,True
2023-07-06,72.0,2.88,2023-07-06,True
2023-07-07,76.0,3.04,2023-07-07,True
2023-07-08,77.0,2.75,2023-07-08,True
2023-07-09,70.0,2.8,2023-07-09,False
2023-07-10,91.0,3.25,2023-07-10,True
2023-07-11,49.5,2.6052631578947367,2023-07-11,True
2023-07-12,84.5,2.816666666666667,2023-07-12,True
2023-07-13,60.5,3.025,2023-07-13,True
2023-07-14,67.0,2.7916666666666665,2023-07-14,True
2023-07-15,82.0,3.037037037037037,2023-07-15,True
2023-07-16,80.0,2.962962962962963,2023-07-16,False
2023-07-17,85.5,3.2884615384615383,2023-07-17,True
2023-07-18,72.5,2.685185185185185,2023-07-18,True
2023-07-19,72.0,2.769230769230769,2023-07-19,True
2023-07-20,95.5,3.183333333333333,2023-07-20,True
2023-07-21,110.0,2.8205128205128207,2023-07-21,True
2023-07-22,50.5,3.607142857142857,2023-07-22,True
2023-07-23,100.0,3.5714285714285716,2023-07-23,False
2023-07-24,125.5,3.217948717948718,2023-07-24,True
2023-07-25,45.5,2.5277777777777777,2023-07-25,True
2023-07-26,95.5,2.984375,2023-07-26,True
2023-07-27,50.5,2.8055555555555554,2023-07-27,True
2023-07-28,96.0,3.310344827586207,2023-07-28,True
2023-07-29,71.0,2.84,2023-07-29,True
2023-07-30,38.0,2.533333333333333,2023-07-30,False
2023-07-31,72.0,2.88,2023-07-31,True
2023-08-01,55.0,3.0555555555555554,2023-08-01,True
2023-08-02,71.0,2.84,2023-08-02,True
2023-08-03,82.0,3.28,2023-08-03,True
2023-08-04,66.0,2.64,2023-08-04,True
2023-08-05,75.5,3.282608695652174,2023-08-05,True
2023-08-06,93.5,3.1166666666666667,2023-08-06,False
2023-08-07,100.0,2.7777777777777777,2023-08-07,True
2023-08-08,45.0,2.8125,2023-08-08,True
2023-08-09,86.0,3.0714285714285716,2023-08-09,True
2023-08-10,68.5,2.8541666666666665,2023-08-10,True
2023-08-11,102.0,3.090909090909091,2023-08-11,True
2023-08-12,69.0,2.875,2023-08-12,True
2023-08-13,60.0,2.4,2023-08-13,False
2023-08-14,80.5,2.515625,2023-08-14,True
2023-08-15,77.0,3.08,2023-08-15,True
2023-08-16,94.5,3.2586206896551726,2023-08-16,True
2023-08-17,86.5,2.621212121212121,2023-08-17,True
2023-08-18,89.5,3.086206896551724,2023-08-18,True
2023-08-19,64.5,2.6875,2023-08-19,True
2023-08-20,72.0,3.272727272727273,2023-08-20,False
2023-08-21,77.0,2.566666666666667,2023-08-21,True
2023-08-22,64.0,2.56,2023-08-22,True
2023-08-23,85.5,3.0535714285714284,2023-08-23,True
2023-08-24,67.5,2.8125,2023-08-24,True
2023-08-25,58.5,2.925,2023-08-25,True
2023-08-26,105.0,3.088235294117647,2023-08-26,True
2023-08-27,73.0,3.0416666666666665,2023-08-27,False
2023-08-28,62.5,3.4722222222222223,2023-08-28,True
2023-08-29,92.5,3.3035714285714284,2023-08-29,True
2023-08-30,68.0,3.090909090909091,2023-08-30,True
2023-08-31,74.0,3.0833333333333335,2023-08-31,True
2023-09-01,63.5,2.4423076923076925,2023-09-01,True
2023-09-02,84.5,2.913793103448276,2023-09-02,True
2023-09-03,65.5,3.4473684210526314,2023-09-03,False
2023-09-04,65.5,2.977272727272727,2023-09-04,True
2023-09-05,84.0,3.111111111111111,2023-09-05,True
2023-09-06,100.5,2.8714285714285714,2023-09-06,True
2023-09-07,90.0,3.103448275862069,2023-09-07,True
2023-09-08,89.0,2.966666666666667,2023-09-08,True
2023-09-09,73.0,2.7037037037037037,2023-09-09,True
2023-09-10,95.5,2.893939393939394,2023-09-10,False
2023-09-11,79.0,3.16,2023-09-11,True
2023-09-12,91.0,2.935483870967742,2023-09-12,True
2023-09-13,91.0,3.1379310344827585,2023-09-13,True
2023-09-14,63.5,2.8863636363636362,2023-09-14,True
2023-09-15,74.0,2.740740740740741,2023-09-15,True
2023-09-16,69.5,2.673076923076923,2023-09-16,True
2023-09-17,51.5,2.575,2023-09-17,False
2023-09-18,69.0,2.875,2023-09-18,True
2023-09-19,83.0,2.8620689655172415,2023-09-19,True
2023-09-20,68.0,2.9565217391304346,2023-09-20,True
2023-09-21,112.0,2.871794871794872,2023-09-21,True
2023-09-22,58.5,2.925,2023-09-22,True
2023-09-23,72.5,2.5892857142857144,2023-09-23,True
2023-09-24,43.5,2.9,2023-09-24,False
2023-09-25,61.0,2.9047619047619047,2023-09-25,True
2023-09-26,82.5,2.9464285714285716,2023-09-26,True
2023-09-27,78.5,3.019230769230769,2023-09-27,True
2023-09-28,82.5,3.3,2023-09-28,True
2023-09-29,68.5,2.9782608695652173,2023-09-29,True
2023-09-30,80.5,2.683333333333333,2023-09-30,True
2023-10-01,68.5,3.261904761904762,2023-10-01,False
2023-10-02,72.0,2.769230769230769,2023-10-02,True
2023-10-03,81.5,3.1346153846153846,2023-10-03,True
2023-10-04,85.0,2.9310344827586206,2023-10-04,True
2023-10-05,45.5,2.275,2023-10-05,True
2023-10-06,92.0,2.967741935483871,2023-10-06,True
2023-10-07,91.0,2.935483870967742,2023-10-07,True
2023-10-08,94.5,2.7,2023-10-08,False
2023-10-09,71.0,3.227272727272727,2023-10-09,True
2023-10-10,79.5,3.3125,2023-10-10,True
2023-10-11,72.5,3.152173913043478,2023-10-11,True
2023-10-12,50.5,2.525,2023-10-12,True
2023-10-13,78.5,2.6166666666666667,2023-10-13,True
2023-10-14,58.5,2.7857142857142856,2023-10-14,True
2023-10-15,86.0,3.185185185185185,2023-10-15,False
2023-10-16,72.0,2.5714285714285716,2023-10-16,True
2023-10-17,69.5,2.673076923076923,2023-10-17,True
2023-10-18,50.0,2.7777777777777777,2023-10-18,True
2023-10-19,106.0,3.212121212121212,2023-10-19,True
2023-10-20,103.5,3.234375,2023-10-20,True
2023-10-21,85.5,2.671875,2023-10-21,True
2023-10-22,110.5,2.9864864864864864,2023-10-22,False
2023-10-23,87.5,3.240740740740741,2023-10-23,True
2023-10-24,77.0,2.6551724137931036,2023-10-24,True
2023-10-25,69.0,2.3793103448275863,2023-10-25,True
2023-10-26,98.0,2.9696969696969697,2023-10-26,True
2023-10-27,71.5,2.9791666666666665,2023-10-27,True
2023-10-28,78.5,2.706896551724138,2023-10-28,True
2023-10-29,59.5,2.8333333333333335,2023-10-29,False
2023-10-30,80.5,2.7758620689655173,2023-10-30,True
2023-10-31,85.5,3.42,2023-10-31,True
2023-11-01,69.5,2.8958333333333335,2023-11-01,True
2023-11-02,75.5,2.9038461538461537,2023-11-02,True
2023-11-03,72.0,2.769230769230769,2023-11-03,True
2023-11-04,87.0,3.2222222222222223,2023-11-04,True
2023-11-05,49.0,2.8823529411764706,2023-11-05,False
2023-11-06,104.5,3.073529411764706,2023-11-06,True
2023-11-07,110.0,3.0555555555555554,2023-11-07,True
2023-11-08,84.0,2.896551724137931,2023-11-08,True
2023-11-09,70.0,2.5925925925925926,2023-11-09,True
2023-11-10,76.0,2.923076923076923,2023-11-10,True
2023-11-11,55.5,3.264705882352941,2023-11-11,True
2023-11-12,73.0,2.607142857142857,2023-11-12,False
2023-11-13,75.5,3.1458333333333335,2023-11-13,True
2023-11-14,77.0,2.6551724137931036,2023-11-14,True
2023-11-15,74.0,2.8461538461538463,2023-11-15,True
2023-11-16,85.0,3.269230769230769,2023-11-16,True
2023-11-17,59.5,2.8333333333333335,2023-11-17,True
2023-11-18,90.5,2.9193548387096775,2023-11-18,True
2023-11-19,85.5,2.85,2023-11-19,False
2023-11-20,91.0,3.5,2023-11-20,True
2023-11-21,58.0,2.761904761904762,2023-11-21,True
2023-11-22,71.0,3.0869565217391304,2023-11-22,True
2023-11-23,113.5,3.1527777777777777,2023-11-23,True
2023-11-24,37.5,2.5,2023-11-24,True
2023-11-25,87.0,2.806451612903226,2023-11-25,True
2023-11-26,84.0,2.7096774193548385,2023-11-26,False
2023-11-27,63.5,2.760869565217391,2023-11-27,True
2023-11-28,70.0,3.0434782608695654,2023-11-28,True
2023-11-29,73.5,2.94,2023-11-29,True
2023-11-30,82.0,3.1538461538461537,2023-11-30,True
2023-12-01,86.0,2.9655172413793105,2023-12-01,True
2023-12-02,86.5,3.2037037037037037,2023-12-02,True
2023-12-03,90.5,2.9193548387096775,2023-12-03,False
2023-12-04,80.0,2.6666666666666665,2023-12-04,True
2023-12-05,81.5,3.26,2023-12-05,True
2023-12-06,91.0,2.935483870967742,2023-12-06,True
2023-12-07,64.5,2.9318181818181817,2023-12-07,True
2023-12-08,78.5,3.019230769230769,2023-12-08,True
2023-12-09,89.0,2.6176470588235294,2023-12-09,True
2023-12-10,69.0,2.875,2023-12-10,False
2023-12-11,54.5,3.0277777777777777,2023-12-11,True
2023-12-12,51.0,2.55,2023-12-12,True
2023-12-13,62.0,3.1,2023-12-13,True
2023-12-14,71.0,2.9583333333333335,2023-12-14,True
2023-12-15,62.0,2.5833333333333335,2023-12-15,True
2023-12-16,83.0,2.8620689655172415,2023-12-16,True
2023-12-17,75.0,2.8846153846153846,2023-12-17,False
2023-12-18,78.0,3.12,2023-12-18,True
2023-12-19,76.5,3.06,2023-12-19,True
2023-12-20,61.0,2.9047619047619047,2023-12-20,True
2023-12-21,71.0,2.730769230769231,2023-12-21,True
2023-12-22,96.0,3.0,2023-12-22,True
2023-12-23,70.5,3.2045454545454546,2023-12-23,True
2023-12-24,91.0,2.757575757575758,2023-12-24,False
2023-12-25,77.0,2.75,2023-12-25,True
2023-12-26,78.5,3.019230769230769,2023-12-26,True
2023-12-27,75.0,3.125,2023-12-27,True
2023-12-28,59.0,2.8095238095238093,2023-12-28,True
2023-12-29,70.5,2.82,2023-12-29,True
2023-12-30,74.0,2.740740740740741,2023-12-30,True
2023-12-31,65.0,3.25,2023-12-31,False
nan,1339.0,2.9108695652173915,,False
